Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,243.600006,243.919998,242.830002,243.660004,240.053101,54144300
2017-06-08,243.770004,244.330002,243.169998,243.779999,240.171310,63989800
2017-06-09,244.089996,245.009995,241.949997,243.410004,239.806793,132256400
2017-06-12,243.130005,243.419998,242.380005,243.360001,239.757538,86108100
2017-06-13,243.979996,244.610001,243.580002,244.550003,240.929932,60067000
2017-06-14,244.860001,244.869995,243.289993,244.240005,240.624512,78602300
2017-06-15,242.679993,243.910004,242.360001,243.770004,240.161484,66464900
2017-06-16,242.770004,242.830002,241.630005,242.639999,240.213943,84553100
2017-06-19,243.589996,244.729996,243.479996,244.660004,242.213745,65123800
2017-06-20,244.250000,244.259995,242.990005,243.009995,240.580231,56906400
2017-06-21,243.460007,243.589996,242.410004,242.949997,240.520828,55977600
2017-06-22,242.960007,243.529999,242.639999,242.839996,240.411942,44148100
2017-06-23,242.910004,243.509995,242.470001,243.130005,240.699036,66986800
2017-06-26,243.899994,244.380005,243.050003,243.289993,240.857422,56700500
2017-06-27,243.039993,243.380005,241.309998,241.330002,238.917038,82247700
2017-06-28,242.500000,243.720001,242.229996,243.490005,241.055450,70042600
2017-06-29,243.660004,243.720001,239.960007,241.350006,238.936844,106949700
2017-06-30,242.279999,242.710007,241.580002,241.800003,239.382355,86820700
2017-07-03,242.880005,243.380005,242.210007,242.210007,239.788254,39153800
2017-07-05,242.630005,243.009995,241.699997,242.770004,240.342651,54427600
2017-07-06,241.889999,242.029999,240.339996,240.550003,238.144836,65400800
2017-07-07,241.210007,242.279999,240.559998,242.110001,239.689240,57972300
2017-07-10,242.110001,242.800003,241.759995,242.369995,239.946640,36663300
2017-07-11,242.369995,242.550003,240.850006,242.190002,239.768433,50354600
2017-07-12,243.300003,244.199997,243.300003,244.009995,241.570236,59610400
2017-07-13,244.020004,244.550003,243.759995,244.419998,241.976151,39471600
2017-07-14,244.419998,245.970001,244.309998,245.559998,243.104752,60262700
2017-07-17,245.470001,245.910004,245.330002,245.529999,243.075043,33531900
2017-07-18,245.059998,245.720001,244.669998,245.660004,243.203735,42742500
2017-07-19,246.020004,247.000000,246.009995,246.990005,244.520447,51034300
2017-07-20,247.279999,247.419998,246.470001,247.100006,244.629349,47135200
2017-07-21,246.440002,246.910004,246.179993,246.880005,244.411560,82340800
2017-07-24,246.789993,246.979996,246.279999,246.820007,244.352158,46622300
2017-07-25,247.679993,247.800003,247.160004,247.419998,244.946152,54915600
2017-07-26,247.750000,247.789993,247.130005,247.429993,244.956039,47575400
2017-07-27,247.960007,248.000000,245.679993,247.199997,244.728348,70766600
2017-07-28,246.649994,247.059998,246.130005,246.910004,244.441254,50088400
2017-07-31,247.369995,247.479996,246.529999,246.770004,244.302643,65838700
2017-08-01,247.460007,247.500000,246.720001,247.320007,244.847153,55050400
2017-08-02,247.470001,247.600006,246.369995,247.440002,244.965942,47211200
2017-08-03,247.309998,247.339996,246.639999,246.960007,244.490753,40856000
2017-08-04,247.520004,247.789993,246.970001,247.410004,244.936249,60191800
2017-08-07,247.490005,247.869995,247.369995,247.869995,245.391647,31995000
2017-08-08,247.509995,248.910004,246.830002,247.259995,244.787750,61719400
2017-08-09,246.470001,247.309998,246.059998,247.250000,244.777847,62632600
2017-08-10,246.289993,246.440002,243.699997,243.759995,241.322739,120479500
2017-08-11,244.020004,244.800003,243.750000,244.119995,241.679138,74869900
